"id","code","name"
Cat_019_10613,10613,"Servicios de beneficiado de productos agrícolas ncp (excluye Beneficio de azúcar rama 1072 y beneficio de café rama 0163)"
Cat_019_10621,10621,"Fabricación de almidón"
Cat_019_10628,10628,"Servicio de molienda de maíz húmedo molino para nixtamal"
Cat_019_10711,10711,"Elaboración de tortillas"
Cat_019_10712,10712,"Fabricación de pan, galletas y barquillos"
Cat_019_10713,10713,"Fabricación de repostería"
Cat_019_10721,10721,"Ingenios azucareros"
Cat_019_10722,10722,"Molienda de caña de azúcar para la elaboración de dulces"
Cat_019_10723,10723,"Elaboración de jarabes de azúcar y otros similares"
Cat_019_10724,10724,"Maquilado de azúcar de caña"
Cat_019_10730,10730,"Fabricación de cacao, chocolates y productos de confitería"
Cat_019_10740,10740,"Elaboración de macarrones, fideos, y productos farináceos similares"
Cat_019_10750,10750,"Elaboración de comidas y platos preparados para la reventa en locales y/o para exportación"
Cat_019_10791,10791,"Elaboración de productos de café"
Cat_019_10792,10792,"Elaboración de especies, sazonadores y condimentos"
Cat_019_10793,10793,"Elaboración de sopas, cremas y consomé"
Cat_019_10794,10794,"Fabricación de bocadillos tostados y/o fritos"
Cat_019_10799,10799,"Elaboración de productos alimenticios ncp"
Cat_019_10800,10800,"Elaboración de alimentos preparados para animales"
Cat_019_11012,11012,"Fabricación de aguardiente y licores"
Cat_019_11020,11020,"Elaboración de vinos"
Cat_019_11030,11030,"Fabricación de cerveza"
Cat_019_11041,11041,"Fabricación de aguas gaseosas"
Cat_019_11042,11042,"Fabricación y envasado de agua"
Cat_019_11043,11043,"Elaboración de refrescos"
Cat_019_11048,11048,"Maquilado de aguas gaseosas"
Cat_019_11049,11049,"Elaboración de bebidas no alcohólicas"
Cat_019_12000,12000,"Elaboración de productos de tabaco"
Cat_019_13111,13111,"Preparación de fibras textiles"
Cat_019_13112,13112,"Fabricación de hilados"
Cat_019_13120,13120,"Fabricación de telas"
Cat_019_13130,13130,"Acabado de productos textiles"
Cat_019_13910,13910,"Fabricación de tejidos de punto y ganchillo"
Cat_019_13921,13921,"Fabricación de productos textiles para el hogar"
Cat_019_13922,13922,"Sacos, bolsas y otros artículos textiles"
Cat_019_13929,13929,"Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir ncp"
Cat_019_13930,13930,"Fabricación de tapices y alfombras"
